Index,objid,ra,dec,deVAB_u,deVAB_g,deVAB_r,deVAB_i,deVAB_z,Column1,deVPhi_u,deVPhi_g,deVPhi_r,deVPhi_i,deVPhi_z,specobjid,class,redshift,expAB_g,expAB_i,expAB_r,expAB_u,expAB_z,expPhi_g,expPhi_i,expPhi_r,expPhi_u,expPhi_z,deVABErr_g,deVABErr_i,deVABErr_r,deVABErr_u,deVABErr_z,expABErr_g,expABErr_i,expABErr_r,expABErr_u,expABErr_z,deVMag_i,deVMag_r,deVMag_u,deVMag_z,expMag_i,expMag_r,expMag_u,expMag_z,modelMag_i,modelMag_r,modelMag_u,modelMag_z,type_i,type_r,type_u,type_z,deVMag_g,expMag_g,modelMag_g,type_g,deV_prob_u,model_u,modelAB_u,modelABErr_u,modelPhi_u,deV_prob_g,model_g,modelAB_g,modelABErr_g,modelPhi_g,deV_prob_r,model_r,modelAB_r,modelABErr_r,modelPhi_r,deV_prob_i,model_i,modelAB_i,modelABErr_i,modelPhi_i,deV_prob_z,model_z,modelAB_z,modelABErr_z,modelPhi_z,modelPhiErr,sys_err_u,tot_err_u,sys_err_g,tot_err_g,sys_err_r,tot_err_r,sys_err_i,tot_err_i,sys_err_z,tot_err_z,probpsf_r,devrad_r
5198,1237661972261175690,189.340231524868,7.92553316485979,0.05,0.9994943,0.6999776,0.1714121,0.4130552,0.6999776,81.49802,74.52313,75.49154,135.7924,70.69934,6087894827349071872,QSO,2.590859,0.9950571,0.1848806,0.6972473,0.09511933,0.7164481,40.24368,107.4362,75.43802,83.05513,70.66896,2.472773,3.396514,8.036979,0.0,317.8575,1.520449,92.70054,8.696618,178.8361,217.9931,21.02459,20.99781,21.96628,20.72181,21.00908,20.99798,21.98,20.72192,21.03492,20.99802,22.11605,20.71927,6,6,6,6,21.14042,21.14087,21.15852,6,0.908392869065906,exp,0.09511933,178.8361,83.05513000000064,0.9751381215469216,exp,0.9950571,1.520449,40.24367999999959,0.1904761904866633,exp,0.6972473,8.696618,75.43802000000142,2.501452081316499,deV,0.1714121,3.396514,-44.20760000000155,1.0433070866139365,deV,0.4130552,317.8575,70.69933999999921,15.0,20.80543285307353,25.64889931758771,17.477288522250237,23.03162204643824,23.40214466255046,27.79676914331841,11.957594463885505,19.18291076356102,32.139663335086794,35.46770304506231,1.0,0.008556385
5199,1237667914885300261,189.401729194084,19.4112901018339,0.5948877,0.9497788,0.7423686,0.0913305,0.6090295,0.7423686,14.79058,46.42436,136.5796,107.1524,108.8194,2942027109293385728,QSO,1.52753,0.942012,0.05,0.8905084,0.6615208,0.6999838,46.4682,107.1548,136.6187,14.41383,108.853,0.4127386,4.172644,5.416216,0.3172257,1.765995,0.3084233,0.0,6.749873,0.2164259,1.554844,18.32645,18.57259,18.94046,18.30378,18.32715,18.57302,18.94274,18.30397,18.33301,18.57306,18.97126,18.30872,6,6,6,6,18.7052,18.70521,18.71231,6,0.9259740259740584,exp,0.6615208,0.2164259,14.413829999997688,0.9985935302391524,exp,0.942012,0.3084233,46.46820000000298,0.0851063829830657,exp,0.8905084,6.749873,-43.38130000000092,0.8932926829270835,exp,0.05,0.0,-72.84520000000339,0.9615384615384892,exp,0.6999838,1.554844,-71.1469999999972,15.0,0.0,15.0,17.477288522250237,23.03162204643824,9.972963796637451,18.01277343689864,32.501720206031536,35.796114542658934,30.75705768893565,34.21982755188161,1.0,2.6021098e-05
5202,1237667782836551720,189.491459505705,22.5750381477523,0.381359,0.6875643,0.9838122,0.2089679,0.1773994,0.9838122,113.9436,160.7103,165.2357,136.8299,44.58842,6738708406948091904,QSO,1.419076,0.6848266,0.2499428,0.9911735,0.3999313,0.3256716,161.5659,136.8487,17.81406,77.08538,44.61891,0.04485954,4.257254,0.6579885,14.22731,17.49612,0.0407335,7.57277,0.3190245,17.81248,7.5068,17.7087,17.76209,18.03306,17.69672,17.70876,17.76214,18.03238,17.6967,17.70112,17.76209,18.02767,17.68818,6,6,6,6,18.04532,18.05604,18.15618,3,0.8738404452691426,exp,0.3999313,17.81248,77.0853799999968,0.9033014613025502,exp,0.6848266,0.0407335,-18.43409999999858,inf,deV,0.9838122,0.6579885,-14.76430000000255,1.00791556728249,deV,0.2089679,4.257254,-43.170100000003,0.9976580796253814,exp,0.3256716,7.5068,44.61890999999741,15.0,20.80543285307353,25.64889931758771,0.0,15.0,0.0,15.0,11.957594463885505,19.18291076356102,11.570080074814424,18.943778739671178,1.0,0.068477616
5204,1237661361294082161,189.322650780311,47.1353040916705,0.3647676,0.09945632,0.06407347,0.5150792,0.5746768,0.06407347,69.70232,78.49133,124.5861,25.43356,53.48964,7506631522461702144,QSO,2.275777,0.3499845,0.5408691,0.5116751,0.3603244,0.7162926,78.55239,25.10321,124.427,69.60474,53.46163,3.800098,0.1729791,4.086016,53.98544,19.16644,15.43957,0.1834527,15.16826,55.3814,31.41656,18.38723,18.63131,20.00668,18.03781,18.39309,18.63137,20.0066,18.03793,18.44799,18.63137,20.00879,18.03797,6,6,6,6,19.05806,19.05822,19.0649,6,1.0379146919433435,deV,0.3647676,53.98544,69.70231999999669,0.9766081871348704,exp,0.3499845,15.43957,78.5523899999971,0.0,exp,0.5116751,15.16826,-55.57299999999668,0.9035549703752176,exp,0.5408691,0.1834527,25.103210000001127,0.2500000000111022,exp,0.7162926,31.41656,53.46162999999797,15.0,20.80543285307353,25.64889931758771,27.35960956515506,31.201734495981537,24.75401770556946,28.94410808036148,12.669317422246689,19.634449417939976,11.570080074814424,18.943778739671178,1.0,0.0013357744
5205,1237661152450379918,189.349649653336,50.9553182263117,0.573544,0.7321545,0.8131637,0.8662909,0.768069,0.8131637,28.88134,138.2872,128.8387,131.5495,15.87102,7514337999527892992,GALAXY,0.2646583,0.7326604,0.8803434,0.8396011,0.7276824,0.7952754,138.6986,127.2564,129.0358,23.00821,17.33227,0.08646142,0.05738135,0.04754442,0.3088496,0.1645355,0.0815108,0.04986603,0.04327096,0.635636,0.1290656,17.78899,18.34267,19.23956,17.53885,18.03351,18.59499,21.15779,17.74555,17.79145,18.34265,20.94811,17.44733,3,3,3,3,19.65266,19.88523,19.60018,3,0.122723947206695,exp,0.7276824,0.635636,23.008209999999963,5.431592987804928,deV,0.7321545,0.08646142,-41.71280000000115,12617.000000477665,deV,0.8131637,0.04754442,-51.16129999999976,98.39837398362754,deV,0.8662909,0.05738135,-48.45049999999901,3.258522727272764,deV,0.768069,0.1645355,15.87101999999868,15.0,8.120243845381111,17.05691531632991,0.0,15.0,9.972963796637451,18.01277343689864,11.957594463885505,19.18291076356102,0.0,15.0,0.0,1.1871228
5206,1237651537639243823,189.269844797461,66.5818190614159,0.3628505,0.6939601,0.3498092,0.218497,0.9300348,0.3498092,19.94058,50.02771,49.17363,107.5303,81.39516,556197609765627904,QSO,0.8515141,0.7458308,0.1524676,0.1555981,0.3456587,0.6606867,50.06889,107.3039,49.1706,19.96566,81.40903,6.59744,5.886671,9.471228,24.17153,35.48508,8.11986,7.601913,5.771609,24.69937,39.18143,18.21923,18.14904,18.9069,18.02157,18.21903,18.14901,18.90677,18.02158,18.21299,18.14904,18.90626,18.01236,6,6,6,6,18.2709,18.27091,18.26851,6,0.7968750000023419,exp,0.3456587,24.69937,19.965660000001662,1.0041841004182483,deV,0.6939601,6.59744,50.02771000000212,inf,deV,0.3498092,9.471228,49.1736299999975,0.9679487179487836,exp,0.1524676,7.601913,-72.69610000000102,1.001085776330035,deV,0.9300348,35.48508,81.39516000000003,15.0,8.120243845381111,17.05691531632991,17.477288522250237,23.03162204643824,9.163339536989298,17.57745122223786,32.501720206031536,35.796114542658934,32.139663335086794,35.46770304506231,1.0,0.0651995
5211,1237655125011595529,189.886475974283,4.71814014600754,0.2206406,0.6775888,0.05228886,0.09927603,0.05,0.05228886,100.7539,43.98267,106.3572,70.08994,18.05218,952555616914663424,QSO,1.760639,0.819823,0.3146729,0.250232,0.4481621,0.1571744,44.01853,70.11052,105.6705,111.2334,166.4979,88.50153,10.39192,15.13529,0.597487,0.0,101.2261,38.11462,41.34331,0.8546885,137.2223,19.99168,20.34324,20.46793,20.23797,19.99342,20.34466,20.52741,20.22772,19.98817,20.34323,20.57865,20.21921,6,6,6,6,20.48849,20.48842,20.47318,6,0.4627890173410375,exp,0.4481621,0.8546885,-68.76660000000265,0.9954278249511852,exp,0.819823,101.2261,44.01853000000119,142.99999995488054,deV,0.05228886,15.13529,-73.64280000000144,1.495726495727162,deV,0.09927603,10.39192,70.08993999999802,0.4536247334755318,exp,0.1571744,137.2223,-13.50209999999788,15.0,20.398794534120466,25.32016624047447,17.477288522250237,23.03162204643824,24.75401770556946,28.94410808036148,32.021930169464866,35.36105218708974,0.0,15.0,1.0,0.10614672
5212,1237661971724566690,189.852439880235,7.50477366656185,0.2990772,0.7321488,0.820141,0.9996641,0.8024114,0.820141,76.20972,76.13696,106.5911,73.40148,76.08986,6087837652744427520,QSO,1.377703,0.7676084,0.999658,0.8507037,0.2991342,0.8563024,76.17445,73.41674,106.5574,76.19417,76.05782,0.277467,1.006743,0.1731394,25.0143,0.3137275,0.2259759,0.7282494,0.1359497,21.94692,0.2326421,17.59202,17.99388,19.10181,17.22645,17.5926,17.99411,19.10183,17.22738,17.58605,17.99388,19.09618,17.23078,6,6,6,6,18.52787,18.52789,18.527,6,1.0035523978684269,deV,0.2990772,25.0143,76.20971999999892,1.0229885057462815,deV,0.7321488,0.277467,76.13696000000346,inf,deV,0.820141,0.1731394,-73.40890000000218,1.0971524288105907,deV,0.9996641,1.006743,73.40148000000045,0.7852193995380077,exp,0.8563024,0.2326421,76.05782000000181,15.0,20.80543285307353,25.64889931758771,27.35960956515506,31.201734495981537,24.75401770556946,28.94410808036148,32.021930169464866,35.36105218708974,32.139663335086794,35.46770304506231,1.0,0.05862527
5213,1237667254017655353,189.863966004467,29.8403786509948,0.05,0.6560166,0.07832751,0.4371147,0.3232826,0.07832751,101.3315,126.4131,138.1031,141.2083,78.36279,7293655569214494720,QSO,1.502367,0.969151,0.5004979,0.376008,0.05,0.359788,65.99204,141.0453,138.3266,101.4095,78.29743,0.8366087,0.9280044,37.29872,0.0,103.1258,1.928224,0.6520776,103.7142,0.0,99.25626,20.28219,21.56742,20.97335,19.72979,20.29221,21.568,20.99436,19.72978,20.3224,21.56801,24.24366,19.71474,6,6,3,6,22.34392,22.68262,22.83135,3,0.9935755325947692,exp,0.05,0.0,-78.59049999999843,0.3051309931682509,exp,0.969151,1.928224,65.99203999999736,0.0169491525416584,exp,0.376008,103.7142,-41.67339999999968,0.7508082566525435,exp,0.5004979,0.6520776,-38.95470000000205,0.9993355481727828,exp,0.359788,99.25626,78.29742999999871,15.0,20.398794534120466,25.32016624047447,27.35960956515506,31.201734495981537,9.972963796637451,18.01277343689864,11.957594463885505,19.18291076356102,32.139663335086794,35.46770304506231,1.0,0.0795845
5214,1237665127472037987,189.975583497883,34.2580168114535,0.905048,0.4252841,0.7024377,0.8669001,0.7659819,0.7024377,46.86951,76.78352,164.5705,166.8708,78.47336,2274458331995203584,QSO,1.168909,0.5206147,0.9447663,0.6820827,0.9151664,0.823292,76.92287,166.7015,163.7781,16.87696,78.39969,0.2082447,0.7215503,0.1105536,0.616688,1.902563,0.178427,0.9810735,0.097027,0.5647858,1.328862,18.99788,19.19297,19.2992,18.99896,18.9983,19.20091,19.30232,18.99827,18.91896,19.20092,19.27623,18.90212,6,3,6,6,19.13144,19.13075,19.10606,6,1.1358293426209425,deV,0.905048,0.616688,46.86950999999681,0.9728132387705972,exp,0.5206147,0.178427,76.92287000000215,0.0012578616351723,exp,0.6820827,0.097027,-16.221899999996822,1.0053218449062578,deV,0.8669001,0.7215503,-13.129200000003038,0.9928748451053412,exp,0.823292,1.328862,78.39968999999837,15.0,8.120243845381111,17.05691531632991,27.35960956515506,31.201734495981537,0.0,15.0,0.0,15.0,32.139663335086794,35.46770304506231,0.0,0.2043956
5224,1237668588651610193,190.399790381916,16.3426743967479,0.8065517,0.7631722,0.7560489,0.743433,0.7660699,0.7560489,134.8149,95.20932,98.20408,93.8191,100.9943,2927373089203316736,GALAXY,0.07021112,0.7142493,0.7059312,0.7114431,0.7963817,0.8105554,96.93085,96.84892,99.22575,135.0198,100.7539,0.007657788,0.005638965,0.005655952,0.0804286,0.01160386,0.006059953,0.004296626,0.004513743,0.06920506,0.0102596,14.59708,15.03859,18.0648,14.34849,14.94889,15.39606,18.54422,14.82217,14.57451,15.03859,17.97234,14.2579,3,3,3,3,15.96315,16.32795,15.97821,3,6.185161150767724,deV,0.8065517,0.0804286,-45.18510000000242,23.223107569721044,deV,0.7631722,0.007657788,-84.79067999999825,inf,deV,0.7560489,0.005655952,-81.79591999999684,16.587505538325242,deV,0.743433,0.005638965,-86.18089999999938,6.228833204547927,deV,0.7660699,0.01160386,-79.00570000000153,15.0,3.859967799199109,15.48868462494004,17.00747647823282,22.677174783416973,24.75401770556946,28.94410808036148,32.501720206031536,35.796114542658934,30.75705768893565,34.21982755188161,0.0,3.7355955
