ra,dec,ObjectId,RAICRS,DEICRS,errHalfMaj,errHalfMin,errPosAng,e_RAICRS,e_DEICRS,SMSS,EpMean,skymapper_flags,ClassStar,RadrPetro,a,b,PA,e_pa,uPSF,e_uPSF,uPetro,e_uPetro,vPSF,e_vPSF,vPetro,e_vPetro,gPSF,e_gPSF,gPetro,e_gPetro,rPSF,e_rPSF,rPetro,e_rPetro,iPSF,e_iPSF,iPetro,e_iPetro,zPSF,e_zPSF,zPetro,e_zPetro,angDist,sys_err,tot_err
0.08499990025,-32.350342705972224,6421261,0.084953,-32.350265,127.0,48.0,90.0,127,48,000020.36-322101.0,57243.6277,0,0.4900000095367431,8.579999923706055,1.1299999952316284,0.7699999809265137,-41.5,38.58000183105469,,,,,,,,,18.31599998474121,0.0630000010132789,18.558000564575195,0.2569999992847442,17.913999557495117,0.0299999993294477,17.864999771118164,0.2450000047683715,18.19799995422364,0.025000000372529,18.25300025939941,0.1420000046491623,17.993999481201172,0.0170000009238719,17.93000030517578,0.1550000011920929,0.314007,249.1304347826087,252.09996048443924
0.2966508958333332,-0.3365462361111111,8276668,0.296622,-0.336434,320.0,221.0,0.0,221,320,000111.16-002010.7,56851.4501,0,0.5580000281333923,8.140000343322754,1.2899999618530271,0.6800000071525574,44.61000061035156,16.440000534057617,,,,,,,,,,,,,18.57699966430664,0.0540000014007091,18.61400032043457,0.231000006198883,18.4060001373291,0.1870000064373016,18.246999740600582,0.3420000076293945,,,,,0.417226,344.34782608695656,344.740045466686
0.3251038378749999,-7.7741449765,8072758,0.325042,-7.774096,36.0,36.0,90.0,36,36,000118.01-074626.7,56961.5598,0,0.984000027179718,6.449999809265137,1.940000057220459,1.75,10.31999969482422,53.43000030517578,17.65999984741211,0.0179999992251396,17.76099967956543,0.2169999927282333,17.62700080871582,0.0219999998807907,17.80500030517578,0.2090000063180923,17.05699920654297,0.0080000003799796,17.04800033569336,0.0879999995231628,16.763999938964844,0.0089999996125698,16.750999450683594,0.0970000028610229,16.45800018310547,0.0189999993890523,16.572999954223633,0.0659999996423721,16.142000198364258,0.0260000005364418,16.18199920654297,0.0570000000298023,0.28238,683.4782608695652,685.5634894113722
0.2722030616249999,-15.851965341722222,7634841,0.272174,-15.852056,146.0,139.0,90.0,146,139,000105.32-155107.3,56876.7145,0,0.5009999871253967,6.929999828338623,1.3300000429153442,0.699999988079071,24.09000015258789,56.290000915527344,19.051000595092773,0.0680000036954879,19.00300025939941,0.2010000050067901,,,,,18.575000762939453,0.0179999992251396,18.64999961853028,0.19200000166893,18.54599952697754,0.0460000000894069,18.84499931335449,0.2540000081062317,,,,,18.124000549316406,0.0209999997168779,18.28499984741211,0.1909999996423721,0.341535,344.34782608695656,348.9183135547387
0.7382304964999999,-0.4131320756388889,8277141,0.738266,-0.413152,36.0,36.0,90.0,36,36,000257.18-002447.3,56849.7901,0,0.3849999904632568,7.920000076293945,0.7300000190734863,0.449999988079071,-69.79000091552734,26.040000915527344,,,,,,,,,,,,,,,,,,,,,18.323999404907227,0.0340000018477439,18.676000595092773,0.2259999960660934,0.146561,0.0,26.040000915527344
0.5499226089166666,-21.886073762777777,7485548,0.549841,-21.885911,36.0,33.0,0.0,33,36,000211.96-215309.2,57261.6119,0,0.488999992609024,9.899999618530272,1.3600000143051147,0.8799999952316284,36.36000061035156,14.229999542236328,,,,,,,,,,,,,,,,,,,,,18.02400016784668,0.0280000008642673,18.14299964904785,0.2430000007152557,0.646261,344.34782608695656,344.641724429566
0.7576320333333333,-6.449885638888889,8206165,0.757657,-6.449889,73.0,70.0,0.0,70,73,000301.83-062659.6,56866.7422,0,0.9179999828338624,7.369999885559082,1.3200000524520874,1.0199999809265137,-29.770000457763672,48.97999954223633,,,,,,,,,18.393999099731445,0.0640000030398368,18.489999771118164,0.1150000020861625,18.18099975585937,0.0460000000894069,17.99799919128418,0.1749999970197677,,,,,18.309999465942383,0.0289999991655349,18.63999938964844,0.2520000040531158,0.090127,249.1304347826087,253.89961380460804
0.8414787625,-17.453297769444443,7599649,0.841461,-17.45322,52.0,36.0,90.0,52,36,000321.95-172711.5,56877.7115,0,0.6399999856948853,5.610000133514404,0.9900000095367432,0.7400000095367432,52.0,24.670000076293945,,,,,,,,,,,,,18.73600006103516,0.1030000001192092,18.684999465942383,0.2000000029802322,18.70499992370605,0.025000000372529,18.94099998474121,0.2060000002384185,,,,,0.286539,344.34782608695656,345.2304074593912
0.8278126181249998,-19.456209925444444,7587948,0.827766,-19.45623,191.0,146.0,90.0,191,146,000318.67-192722.5,57261.6257,0,0.4950000047683716,8.140000343322754,1.0800000429153442,0.800000011920929,14.390000343322754,20.57999992370605,,,,,,,,,,,,,18.55599975585937,0.025000000372529,18.858999252319336,0.202000007033348,18.27499961853028,0.0160000007599592,18.364999771118164,0.2280000001192093,17.972999572753906,0.032999999821186,18.03199958801269,0.1700000017881393,0.173963,683.4782608695652,683.7880296394089
0.8164558497083333,-19.697333834694444,7587674,0.81637,-19.697289,36.0,34.0,0.0,34,36,000315.92-194150.2,56877.714,0,0.5,4.619999885559082,1.0499999523162842,0.6600000262260437,-62.15999984741211,18.799999237060547,,,,,,,,,,,,,18.82299995422364,0.025000000372529,18.785999298095703,0.1609999984502792,,,,,,,,,0.332743,0.0,18.799999237060547
1.324724122458333,-16.801299602944447,7633118,1.324734,-16.801246,57.0,55.0,0.0,55,57,000517.93-164804.6,56873.0963,0,0.5839999914169312,8.109999656677246,1.409999966621399,1.1299999952316284,1.940000057220459,67.45999908447266,,,,,,,,,17.898000717163086,0.0309999994933605,18.56999969482422,0.2849999964237213,17.840999603271484,0.0140000004321336,17.85300064086914,0.1199999973177909,18.17799949645996,0.1430000066757202,18.388999938964844,0.1410000026226043,17.79400062561035,0.0199999995529651,17.864999771118164,0.3210000097751617,0.19595,683.4782608695652,686.7993772258116
1.5578870200833332,-6.393148710666667,8207811,1.557877,-6.393127,37.0,36.0,0.0,36,37,000613.88-062335.2,56967.0544,0,0.9800000190734864,6.769999980926514,2.2799999713897705,1.9700000286102293,24.3700008392334,53.41999816894531,18.26799964904785,0.0289999991655349,18.09600067138672,0.1099999994039535,18.11400032043457,0.0240000002086162,18.040000915527344,0.1870000064373016,17.452999114990234,0.0799999982118606,17.350000381469727,0.0540000014007091,16.426000595092773,0.1679999977350235,16.702999114990234,0.2119999974966049,16.31999969482422,0.3510000109672546,15.98900032043457,0.4339999854564667,15.83199977874756,0.2649999856948852,15.946000099182127,0.1809999942779541,0.085987,344.34782608695656,348.46681554372293
2.00154,-23.655041666666666,7454476,2.001484,-23.655028,36.0,33.0,0.0,33,36,000800.35-233918.1,56988.0337,0,0.9810000061988832,6.78000020980835,1.870000004768372,1.5800000429153442,3.180000066757202,63.52000045776367,17.107999801635742,0.050000000745058,17.038000106811523,0.0579999983310699,16.815000534057617,0.0359999984502792,16.85700035095215,0.248999997973442,16.791000366210938,0.0920000001788139,16.698999404907227,0.0879999995231628,16.68199920654297,0.0270000007003545,16.676000595092773,0.0710000023245811,16.570999145507812,0.0359999984502792,16.636999130249023,0.061999998986721,16.631999969482422,0.0120000001043081,16.659000396728516,0.0579999983310699,0.191103,683.4782608695652,686.423574434503
2.14749875,-23.65778,7454564,2.147441,-23.657762,94.0,87.0,0.0,87,94,000835.39-233927.8,56990.921,2,0.6150000095367432,8.359999656677246,1.6200000047683716,1.2400000095367432,4.159999847412109,58.84999847412109,,,,,,,,,18.290000915527344,0.0439999997615814,18.07999992370605,0.1340000033378601,17.80299949645996,0.0430000014603138,17.12299919128418,0.277999997138977,17.562000274658203,0.0260000005364418,17.332000732421875,0.2610000073909759,17.378999710083008,0.0340000018477439,16.924999237060547,0.0590000003576278,0.201151,683.4782608695652,686.0071831997749
