Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
411,J0058+1937,0055+193,+19:37:02.2947800,00:58:22.08359100,19.617304105555554,14.5920149625,650.0,3.4e-05,0.00092,1.4166666666666665e-07,2.555555555555556e-07,2.882982562836547e-07,0.399,0.9452,39.0,2015.0,125.172,-43.224,,0.92905,,0.9291,,0.929,19.5,R,AQ,"NVSS J005822+193702
",J0058+1937,8,20,5,,1.7,21.285211267605632,21.86458823546892
412,J0058+3211,0055+319,+32:11:19.6845400,00:58:15.60932700,32.18880126111111,14.565038862499998,647.0,3.867e-05,0.0007,1.6112499999999998e-07,1.9444444444444445e-07,2.3749230921588162e-07,-0.58,0.7749,39.0,2015.0,124.61,-30.661,,0.873,,0.873,,0.873,20.1,R,AQ,"NVSS J005815+321120; WISE J005815.60+321119.6
",J0058+3211,8,-87,5,,15.1,4.014084507042253,6.411932191600021
415,J0058-0539,0055-059,-05:39:52.2781332,00:58:05.06630963,-5.664521703666667,14.521109623458331,646.0,2.71e-06,5.03e-05,1.1291666666666664e-08,1.3972222222222224e-08,1.792993467533533e-08,-0.0614,0.0505,1.0,2015.0,127.443,-68.478,NED (fiducial),1.2456,,1.2456,,,18.3,R,AQ,"ICRF J005805.0-053952 S/X; PKS 0055-059
",J0058-0539,"2,5,8",157,6,,7.2,4.225352112676056,7.338501241813345
416,J0058-1140,,-11:40:50.523,00:58:32.3739,-11.680700833333333,14.63489125,,,,,,,,,,,,,,,,,,,,,,,J0058-1140,5,44,5,,41.8,0.0,5.0
417,J0058-1829,0056-187,-18:29:37.0542854,00:58:37.26620278,-18.49362619038889,14.655275844916664,655.0,0.00013275,0.0045982,5.531249999999999e-07,1.2772777777777778e-06,1.3807978886514555e-06,-0.8237,4.8668,1.0,2015.0,134.144,-81.209,,,,,,,21.8,B,V ,"ICRF J005837.2-182937 S/X; PMN J0058-1829; GALEXASC J005837.11-182937.1
",J0058-1829,8,80,5,,22.2,0.0,5.0
418,J0058-3234,0055-328,-32:34:20.7504750,00:58:02.23031368,-32.5724306875,14.509292973666666,645.0,1.232e-05,0.0003762,5.1333333333333336e-08,1.045e-07,1.1309998999877897e-07,-0.364,0.3812,1.0,2015.0,288.61,-84.371,NED (fiducial),,a,,,,20.0,R,AL,"ICRF J005802.2-323420 S/X; PKS 0055-328; GALEXASC J005802.23-323420.8
",J0058-3234,"2,8",138,3,,3.9,4.225352112676056,5.182045973946585
419,J0058-3347,0055-340,-33:47:57.4941521,00:58:15.64180716,-33.79930393113889,14.5651741965,648.0,1.274e-05,0.0004039,5.3083333333333336e-08,1.1219444444444445e-07,1.205547298141306e-07,-0.3544,0.4084,1.0,2015.0,290.929,-83.169,,,,,,,19.6,R,AQ,"ICRF J005815.6-334757 S/X; AT20G J005815-334757; GALEXASC J005815.66-334757.5;; star SCL:[V78] 581? near a star?
",J0058-3347,8,44,5,,1.7,0.0,5.0
420,J0059+0006,0056-001,+00:06:51.6206741,00:59:05.51492877,0.1143390761388889,14.772978869874995,658.0,6.54e-06,0.0001381,2.725e-08,3.836111111111112e-08,4.705458945211821e-08,-0.2486,0.1419,1.0,2015.0,127.106,-62.695,NED (fiducial),0.7187,,0.7187,,0.7191,16.9,R,A1,"ICRF J005905.5+000651 S/X; LBQS 0056-0009
",J0059+0006,"2,5,8",153,3,,8.7,4.225352112676056,5.182045973946585
421,J0059+0403,0056+037,+04:03:02.2427100,00:59:25.32783200,4.050622975,14.85553263333333,660.0,8.867e-05,0.00266,3.694583333333333e-07,7.388888888888889e-07,8.256967714544134e-07,-0.509,2.7615,39.0,2015.0,126.773,-58.762,,,,,,,    , ,R ,"PKS 0056+037
",J0059+0403,5,148,5,,4.4,4.225352112676056,6.546266147667387
422,J0059+1121,0057+110,+11:21:41.7390900,00:59:59.23270900,11.361594191666669,14.996802954166665,667.0,3.6e-05,0.00115,1.5e-07,3.194444444444444e-07,3.516696584889067e-07,-0.251,1.1595,39.0,2015.0,126.296,-51.454,LITERATURE,,a,,,,20.7,R,V ,"NVSS J005959+112142;; z from milliquas (http://quasars.org/milliquas.htm)
",J0059+1121,"5,8",-156,4,,31.9,7.447183098591549,8.453433391465719
423,J0059+2703,0056+267,+27:03:32.6257800,00:59:24.42386800,27.059062716666663,14.851766116666663,659.0,0.00015667,0.00224,6.527916666666666e-07,6.222222222222221e-07,8.515349872060637e-07,0.452,2.6156,39.0,2015.0,125.119,-35.779,NED (fiducial),0.0459,,0.0456,,, 7.9,R,G ,"87GB 005641.6+264730; NVSS J005924+270332
",J0059+2703,5,35,5,,5.9,21.285211267605632,21.86458823546892
425,J0100+0305,0057+028,+03:05:12.3300814,01:00:09.14384076,3.0867583559444447,15.0380993365,670.0,2.307e-05,0.0007064,9.6125e-08,1.9622222222222225e-07,2.184408012817812e-07,-0.2726,0.7144,3.0,2015.0,127.248,-59.712,NED (fiducial),0.8983,,0.8983,,0.8988,18.8,R,AQ,"PKS J0100+0304
",J0100+0305,"5,8",-124,4,,2.3,7.447183098591549,8.453433391465719
426,J0100+0745,,+07:45:51.408,01:00:20.7864,7.76428,15.086609999999997,,,,,,,,,,,,,,,,,,,,,,,J0100+0745,8,113,5,,1.1,4.225352112676056,6.546266147667387
427,J0100+1958,0058+197,+19:58:31.9736500,01:00:54.45698900,19.97554823611111,15.22690412083333,680.0,3.267e-05,0.00099,1.3612499999999998e-07,2.75e-07,3.033026477010505e-07,-0.296,1.0016,39.0,2015.0,125.967,-42.84,LITERATURE,,a,,,,21.8,r,V ,"NVSS J010054+195832;; z from milliquas (http://quasars.org/milliquas.htm)
",J0100+1958,"5,8",139,4,,3.8,4.225352112676056,5.818384696468256
428,J0100+3107,0057+308,+31:07:58.2946200,01:00:18.67800100,31.132859616666668,15.077825004166666,674.0,4.933e-05,0.00208,2.0554166666666666e-07,5.777777777777777e-07,6.039712043795832e-07,-0.046,2.0802,39.0,2015.0,125.164,-31.7,NED (fiducial),1.7,,1.8073,,,18.5,R,AQ,"NVSS J010018+310759
",J0100+3107,5,-72,5,,2.2,4.014084507042253,6.411932191600021
431,J0100-0055,,-00:55:47.807,01:00:58.1885,-0.9299463888888888,15.24245208333333,,,,,,,,,,,,,,,,,,,,,,,J0100-0055,5,-4,5,,24.2,21.285211267605632,21.86458823546892
432,J0100-2708,0057-274,-27:08:53.0854500,01:00:12.31431200,-27.148079291666665,15.051309633333332,672.0,6.067e-05,0.00216,2.5279166666666664e-07,6e-07,6.407798006073871e-07,-0.117,2.1624,39.0,2015.0,214.014,-88.049,NED (fiducial),3.52,,3.528,,,19.8,R,AQ,"NVSS J010012-270851; 2MASS J01001231-2708533
",J0100-2708,"5,8",144,4,,3.7,4.225352112676056,5.818384696468256
434,J0101+0605,0058+058,+06:05:44.5042601,01:01:14.67014809,6.095695627805555,15.311125617041665,683.0,1.664e-05,0.0005073,6.933333333333333e-08,1.409166666666667e-07,1.5687706076215213e-07,-0.2137,0.5109,1.0,2015.0,127.374,-56.691,,1.9,,1.8998,,,20.0,R,AQ,"ICRF J010114.6+060544 S/X; PMN J0101+0605
",J0101+0605,"2,8",52,3,,13.2,0.0,3.0
435,J0101+1538,,+15:38:38.166,01:01:36.0827,15.643935,15.40034458333333,,,,,,,,,,,,,,,,,,,,,,,J0101+1538,8,95,5,,0.9,0.0,5.0
436,J0101+1639,0059+163,+16:39:40.9535305,01:01:57.71953542,16.661375980694444,15.490498064249998,689.0,1.217e-05,0.000466,5.0708333333333336e-08,1.2944444444444446e-07,1.3825997881663338e-07,-0.1748,0.4672,1.0,2015.0,126.571,-46.136,LITERATURE,,a,,,,19.4,R,V ,"ICRF J010157.7+163940 S/X; 87GB 005918.4+162326;; z from milliquas (http://quasars.org/milliquas.htm)
",J0101+1639,"2,8",178,6,,5.4,4.225352112676056,7.338501241813345
438,J0101-0252,0059-031,-02:52:31.5917100,01:01:49.96343600,-2.875442141666667,15.458180983333332,686.0,2.4e-05,0.00086,1e-07,2.388888888888889e-07,2.5892612091847696e-07,0.081,0.8606,39.0,2015.0,129.23,-65.62,NED (fiducial),0.071,,0.071,,,14.7,R,G ,"2MASX J01014997-0252314
",J0101-0252,8,75,5,,0.7,0.0,5.0
439,J0101-2831,0059-287,-28:31:20.4281169,01:01:52.38970063,-28.522341143583333,15.468290419291666,688.0,3.69e-05,0.0011569,1.5374999999999998e-07,3.213611111111111e-07,3.486002591486763e-07,0.0414,1.1571,1.0,2015.0,244.678,-87.304,NED (fiducial),1.6,,1.694,,,23.2,R,AQ,"ICRF J010152.3-283120 S/X; PKS 0059-287
",J0101-2831,2,60,4,,13.0,0.0,4.0
440,J0102+0011,0059-000,+00:11:56.9524500,01:02:05.89875600,0.1991534583333333,15.524578149999998,690.0,0.00051267,0.01706,2.136125e-06,4.738888888888888e-06,5.198080683061599e-06,-0.138,17.1011,28.0,2010.76,128.722,-62.553,NED (fiducial),0.7258,,0.726,,0.726,16.6,R,AQ,"NVSS J010206+001156
",J0102+0011,"5,8",147,4,,28.4,4.225352112676056,5.818384696468256
441,J0102+0944,0059+094,+09:44:09.5852900,01:02:17.11241600,9.735995913888887,15.571301733333334,695.0,2.2e-05,0.00079,9.166666666666665e-08,2.1944444444444445e-07,2.3731485766312562e-07,-0.176,0.7925,39.0,2015.0,127.38,-53.042,,0.4213,,0.4213,,0.4213,18.3,R,AL,"NVSS J010217+094407
",J0102+0944,8,8,5,,8.2,21.285211267605632,21.86458823546892
443,J0102-2646,0100-270,-26:46:36.5164074,01:02:56.35390959,-26.776810113166665,15.734807956625,703.0,2.036e-05,0.0005741,8.483333333333333e-08,1.5947222222222224e-07,1.765429349225788e-07,-0.4634,0.5906,1.0,2015.0,205.778,-87.413,NED (fiducial),1.606,,1.606,,,17.5,R,AQ,"ICRF J010256.3-264636 S/X; LBQS 0100-2702
",J0102-2646,"2,8",128,3,,5.9,4.225352112676056,5.182045973946585
444,J0103+1319,0100+130,+13:19:35.0295500,01:03:21.02615700,13.32639709722222,15.837608987499998,708.0,2.933e-05,0.00088,1.2220833333333332e-07,2.4444444444444445e-07,2.7183539632420457e-07,-0.29,0.891,39.0,2015.0,127.391,-49.442,NED (fiducial),2.6703,,2.665,,2.6701,20.4,R,AQ,"87GB 010042.4+130355
",J0103+1319,"5,8",12,4,,3.4,21.285211267605632,21.65779810383793
445,J0103+1526,0100+151,+15:26:24.6655882,01:03:26.00170042,15.440184885611112,15.858340418416663,709.0,1.054e-05,0.0003173,4.3916666666666666e-08,8.813888888888889e-08,9.77774704744526e-08,-0.4216,0.3251,3.0,2015.0,127.199,-47.332,NED (fiducial),0.2461,,0.2461,,0.2461,16.4,R,AL,"87GB 010048.1+150956
",J0103+1526,"5,8",-138,4,,2.7,7.447183098591549,8.453433391465719
451,J0104+2949,0101+295,+29:49:05.7048300,01:04:08.32249500,29.818251341666667,16.0346770625,718.0,3.667e-05,0.00066,1.5279166666666664e-07,1.8333333333333333e-07,2.262390236802148e-07,0.156,0.6683,39.0,2015.0,126.216,-32.973,,1.256,,1.256,,1.256,18.8,R,AQ,"NVSS J010408+294905; 2W 0101+29W3; GALEXASC J010408.33+294905.8
",J0104+2949,"5,8",44,4,,2.3,0.0,4.0
452,J0104-0754,0101-081,-07:54:48.1767400,01:04:25.82054700,-7.913382427777778,16.1075856125,720.0,3.8e-05,0.00147,1.5833333333333333e-07,4.083333333333333e-07,4.374132748011363e-07,-0.292,1.4806,39.0,2015.0,132.63,-70.54,NED (fiducial),0.9228,,,,,17.4,R,G ,"PMN J0104-0755
",J0104-0754,"5,8",-33,4,,6.2,21.285211267605632,21.65779810383793
453,J0104-2416,0102-245,-24:16:28.4461641,01:04:58.20537794,-24.274568378916666,16.24252240808333,723.0,5.51e-06,0.000172,2.295833333333333e-08,4.777777777777778e-08,5.2160500503637544e-08,-0.1956,0.1728,1.0,2015.0,170.566,-85.825,NED (fiducial),1.747,,1.747,,,19.9,R,AQ,"ICRF J010458.2-241628 S/X; PKS 0102-245
",J0104-2416,8,125,5,,0.6,4.225352112676056,6.546266147667387
454,J0105+0600,0103+057,+06:00:59.3161883,01:05:59.17005301,6.016476718972222,16.496541887541664,731.0,8.14e-06,0.0002533,3.391666666666666e-08,7.03611111111111e-08,7.802812643782562e-08,-0.3734,0.2583,1.0,2015.0,129.525,-56.669,,1.4114,,1.4092,,1.4114,19.2,R,AQ,"ICRF J010559.1+060059 S/X; PMN J0105+0601; GALEXASC J010559.12+060059.7
",J0105+0600,"5,8",-50,4,,2.4,4.014084507042253,5.666822251463041
455,J0105+1553,0103+156,+15:53:41.2128000,01:05:51.04289000,15.894781333333333,16.462678708333332,729.0,2.267e-05,0.00082,9.445833333333333e-08,2.277777777777778e-07,2.4522614867699144e-07,-0.101,0.8208,39.0,2015.0,128.001,-46.835,,,,,,,    , ,I ,"PKS 0103+156
",J0105+1553,5,145,5,,5.1,4.225352112676056,6.546266147667387
456,J0105+1912,0103+189,+19:12:28.0623200,01:05:55.24106700,19.207795088888886,16.4801711125,730.0,3.867e-05,0.00096,1.6112499999999998e-07,2.666666666666667e-07,3.070218015743846e-07,-0.478,1.0052,39.0,2015.0,127.65,-43.531,NED (fiducial),0.8786,,0.8785,,0.8787,18.3,R,AQ,"SDSS J010555.23+191228.0; NVSS J010555+191227
",J0105+1912,5,-117,5,,4.1,7.447183098591549,8.969979715916175
460,J0105-1828,,-18:28:46.119,01:05:27.0772,-18.4794775,16.362821666666665,,,,,,,,,,,,,,,,,,,,,,,J0105-1828,8,13,5,,52.1,21.285211267605632,21.86458823546892
462,J0106+1951,0104+195,+19:51:02.5616906,01:06:52.63123264,19.850711580722223,16.719296802666666,745.0,6.95e-06,0.0001896,2.8958333333333333e-08,5.266666666666668e-08,5.929306156242829e-08,-0.0669,0.1898,1.0,2015.0,127.888,-42.872,,,,,,,22.0, ,V ,"ICRF J010652.6+195102 S/X; 87GB 010412.9+193516
",J0106+1951,8,158,5,,0.4,4.225352112676056,6.546266147667387
463,J0106+2325,0104+231,+23:25:09.9148800,01:06:46.99619300,23.4194208,16.695817470833333,744.0,4.2e-05,0.00081,1.7499999999999997e-07,2.25e-07,2.764273106124665e-07,0.021,0.8102,39.0,2015.0,127.484,-39.317,,,,,,,    , ,I ,"PKS 0104+231
",J0106+2325,"5,8",-107,4,,4.1,4.014084507042253,5.666822251463041
464,J0106+2539,0103+253,+25:39:30.4956806,01:06:10.96897061,25.658471022388888,16.545704044208335,734.0,1.504e-05,0.0003888,6.266666666666666e-08,1.08e-07,1.218802734885903e-07,-0.4709,0.4032,1.0,2015.0,127.098,-37.094,NED (fiducial),0.1975,,0.199,,0.1975,14.9,R,AL,"ICRF J010610.9+253930 S/X; 87GB 010326.9+252342
",J0106+2539,"2,5,8",150,4,,7.3,4.225352112676056,5.818384696468256
