Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
7064,J1727+5510,1726+552,+55:10:53.5354709,17:27:23.46931638,55.18153763080555,261.84778881825,10670.0,1.137e-05,0.0001208,4.737499999999999e-08,3.355555555555556e-08,4.3100842620791254e-08,-0.135,0.1227,1.0,2015.0,83.024,33.818,NED (fiducial),0.2472,,0.2475,,0.2475,17.1,R,AL,"ICRF J172723.4+551053 S/X; 2MASX J17272346+5510538
",J1727+5510,"2,8,15",-22,2,,1.0,21.285211267605632,21.378966736178008
7065,J1727+5846,1726+588,+58:46:34.3655600,17:27:32.40163000,58.776212655555554,261.8850067916666,10672.0,5.133e-05,0.00041,2.1387500000000005e-07,1.138888888888889e-07,1.5894215026957793e-07,0.008,0.4102,23.0,2006.31,87.347,33.716,NED (fiducial),0.8441,,0.8441,,0.8441,18.4,R,AQ,"SDSS J172732.39+584634.4
",J1727+5846,5,41,5,,4.5,0.0,5.0
7082,J1730+6025,1730+604,+60:25:16.7243899,17:30:52.71340146,60.421312330527776,262.71963917275,10690.0,2.245e-05,0.0002028,9.354166666666666e-08,5.6333333333333335e-08,7.283867389481161e-08,-0.1049,0.2049,1.0,2015.0,89.293,33.218,NED (fiducial),0.7296,,0.7296,,0.7296,17.8,R,AL,"ICRF J173052.7+602516 S/X; SDSS J173052.71+602516.6
",J1730+6025,2,20,4,,3.8,21.285211267605632,21.65779810383793
7442,J1839+4100,1837+409,+41:00:59.0925803,18:39:05.80374610,41.016414605638886,279.77418227541665,11097.0,1.33e-05,0.0001896,5.5416666666666657e-08,5.266666666666668e-08,6.724664116172359e-08,-0.1085,0.1914,1.0,2015.0,69.826,19.596,NED (fiducial),2.3103,,2.314,,2.3103,18.4,R,AQ,"ICRF J183905.8+410059 S/X; SDSS J183905.80+410059.1; B3 1837+409
",J1839+4100,8,-79,5,,1.6,4.014084507042253,6.411932191600021
8098,J2054+0015,2052+000,+00:15:37.7642700,20:54:56.85296600,0.260490075,313.73688735833326,11918.0,3.133e-05,0.0011,1.3054166666666666e-07,3.055555555555556e-07,3.322724364614884e-07,-0.417,1.1202,39.0,2015.0,48.434,-27.043,NED (fiducial),0.1508,,0.1508,,0.1508,15.7,R,AL,"2MASX J20545682+0015378; 87GB 205222.6+000343
",J2054+0015,"5,8",141,4,,3.2,4.225352112676056,5.818384696468256
8114,J2057+0012,,+00:12:07.350,20:57:20.3829,0.2020416666666666,314.33492875,,,,,,,,,,,,,,,,,,,,,,,J2057+0012,5,112,5,,3.3,4.225352112676056,6.546266147667387
8177,J2109+0440,,+04:40:00.365,21:09:40.1215,4.666768055555556,317.4171729166666,,,,,,,,,,,,,,,,,,,,,,,J2109+0440,8,-39,5,,3.0,4.014084507042253,6.411932191600021
8184,J2110+0809,,+08:09:55.384,21:10:09.6767,8.165384444444445,317.5403195833333,,,,,,,,,,,,,,,,,,,,,,,J2110+0809,8,-137,5,,1.8,7.447183098591549,8.969979715916175
8186,J2110-0126,2107-016,-01:26:58.2420208,21:10:22.61906851,-1.4495116724444446,317.59424611879166,12036.0,1.153e-05,0.0003473,4.8041666666666665e-08,9.647222222222225e-08,1.0776555353509857e-07,-0.0577,0.3475,1.0,2015.0,49.038,-31.23,NED (fiducial),0.9043,,0.9043,,0.9047,20.2,R,AB,"ICRF J211022.6-012658 S/X; PMN J2110-0126
",J2110-0126,"2,5,8",110,3,,2.1,4.225352112676056,5.182045973946585
8211,J2116+0337,2114+034,+03:37:47.0575900,21:16:40.90365000,3.629738219444445,319.170431875,12075.0,3e-05,0.00095,1.25e-07,2.638888888888889e-07,2.918899127659652e-07,0.038,0.9502,39.0,2015.0,54.987,-29.808,NED (fiducial),1.706,,1.706,,1.704,19.0,R,AQ,"PMN J2116+0337
",J2116+0337,"5,8",-175,4,,2.6,7.447183098591549,8.453433391465719
