Astrogeo_DES_full_catalogue_matches_good_RA,Astrogeo_DES_full_catalogue_matches_good_DEC,DES_full_catalogue_Astrogeo_matches_RA,DES_full_catalogue_Astrogeo_matches_DEC,DES_full_catalogue_Astrogeo_matches_indexes,DES_full_catalogue_Astrogeo_matches_indexes_of_DES_full_catalogue,DES_full_catalogue_Astrogeo_A_matches,DES_full_catalogue_Astrogeo_A_ERR_matches,DES_full_catalogue_Astrogeo_B_matches,DES_full_catalogue_Astrogeo_B_ERR_matches,DES_full_catalogue_Astrogeo_BA_matches,DES_full_catalogue_Astrogeo_BA_ERR_matches,DES_full_catalogue_Astrogeo_THETA_J2000_matches,DES_full_catalogue_Astrogeo_ERRTHETA_IMAGE_matches,DES_full_catalogue_Astrogeo_THETAWIN_IMAGE_G_matches,DES_full_catalogue_Astrogeo_ERRTHETAWIN_IMAGE_G_matches,DES_full_catalogue_Astrogeo_TYPE_matches,DES_full_catalogue_Astrogeo_EXTENDED_CLASS_COADD_matches,DES_full_catalogue_Astrogeo_PA_DIFFERENCE_matches,DES_full_catalogue_Astrogeo_PA_DIFFERENCE_THETAWIN_IMAGE_G_matches,DES_full_catalogue_Astrogeo_PA_DIFFERENCE_ERR_matches,Astrogeo_DES_full_catalogue_Z_good_matches,sys_err,tot_err,DES_full_catalogue_Astrogeo_class_star_r_matches
0.0803435284583333,2.804080724583333,0.080344,2.804082,0,9057481,2.55796766,0.02838658,2.41451335,0.02440835,0.9439186381269574,0.0141695560356137,-19.059303279999995,63.50423813,81.91275023999998,82.82184601,0.00109409,0,4.059303279999995,83.08724976000002,63.70077127061921,,30.789473684210527,87.5082301365495,0.98267233
0.1125938073749999,3.1210128779444446,0.112594,3.121012,1,7239699,2.51705599,0.01255098,2.40861154,0.01191659,0.9569161550514416,0.0067217218165207,-14.532333370000003,74.12442017,77.43421935999999,77.75022125,0.00057723,0,16.532333370000003,75.43421935999999,74.23226835776138,2.3531,44.21052631578947,89.16629949152151,0.9856824
0.2966508958333332,-0.3365462361111111,0.29665,-0.336547,13,9687494,3.40553975,0.01556154,3.22012329,0.0144634,0.9455544572633456,0.0060585111493729,-41.48681259,54.08310699,69.28117371000002,79.66048431,0.00101592,0,48.51318741,20.71882628999998,54.31374100254729,0.5174,30.789473684210527,75.81472627653477,0.9913203
0.7382304964999999,-0.4131320756388889,0.738233,-0.413132,22,15701677,5.52072954,0.04109927,4.61865568,0.0333051,0.836602417585557,0.0086708324098426,-9.719367980000015,83.74887848,61.04458618000001,47.0047493,0.00485846,3,20.71936798000001,50.04458618000001,83.89800144614773,0.5221,44.21052631578947,75.3724892716604,0.15048975
0.812345213,2.249300992055556,0.812343,2.249303,25,1950079,2.8460238,0.01351556,2.55727601,0.01031002,0.8985434380415229,0.0055974599582404,84.67765044999999,5.45657396,70.33795165999999,71.17870331,-0.00049659,0,14.677650449999987,0.3379516599999874,6.765663262456245,1.1,0.0,70.33795165999999,0.9893225
0.7576320333333333,-6.449885638888889,0.757632,-6.449884,35,4323333,3.78760529,0.01509137,3.25353813,0.01134324,0.8589960887925573,0.0045478734290997,-51.18878174000002,40.50875092,37.77261734000001,26.33961296,-0.00088872,0,45.18878174000002,43.77261734000001,40.70576004816272,0.8,30.789473684210527,48.73153301985032,0.98840314
1.4252963249999997,-5.502581733333333,1.425296,-5.502582,51,14472705,2.9258101,0.02288399,2.75045085,0.02007568,0.9400647191695728,0.0100569682875792,17.357055660000015,66.50786591,-60.39073563,-84.2609787,0.00110541,0,45.64294433999999,56.609264370000005,66.69554878627615,1.9,44.21052631578947,74.84391482980874,0.97762066
1.2746879104999995,-34.763793371944445,1.27469,-34.763791,53,668663,3.51552248,0.06160702,2.92314887,0.0470177,0.8314977038633529,0.0197787273582701,-64.42722320999997,29.86963081,-74.10874175999999,-56.17275238,0.00055167,3,10.427223209999966,20.108741759999987,30.01990747363658,,17.36842105263158,76.11680271209414,0.9138814
1.5578870200833332,-6.393148710666667,1.557886,-6.393147,61,5961271,4.75368547,0.0115318,4.40662336,0.0098454,0.9269909395162405,0.0030571867814838,35.345199579999985,49.18904495,-72.33756255999998,-70.43219757,-0.00061687,2,51.654800420000015,20.66243744000002,49.280443819969,0.3467,48.1578947368421,86.9017018395306,0.86343706
1.9326676272916663,2.4422914807222225,1.93264,2.442338,63,883353,1.24795341,0.2672748,0.91369164,0.19073649,0.7321520440414518,0.2189698944583997,68.50953673999999,20.43395042,-21.48253249999999,-20.43826675,0.00121986,1,30.490463260000013,59.51746750000001,21.03678515759996,,0.0,21.48253249999999,0.49920994
2.140254851083333,-36.02362039552778,2.140249,-36.023604,76,9210791,1.82705641,0.21175817,1.76451254,0.20035818,0.9657679589652078,0.15669989975438,51.71283340000002,42.26105881,-47.80850600999997,-67.3609848,0.0063385,3,40.28716659999998,40.191493990000026,42.3674060067675,,48.1578947368421,67.85894246444582,0.08121486
2.494406783083333,1.9653192578611112,2.494407,1.965322,77,16847770,2.62560463,0.01552908,2.51475596,0.01319347,0.957781659609581,0.0075722914579373,3.552551269999981,77.54995728,45.88044738999997,41.35360336,0.00045657,0,15.55255126999998,57.88044738999997,77.60796269797207,2.9753,44.21052631578947,63.71488122743124,0.98262644
2.350707083333333,5.123616111111111,2.350703,5.123618,78,10603420,2.17919254,0.06634159,2.07295465,0.059834,0.9512489658210742,0.0399062875264319,-82.20128632000001,12.90987301,-58.37526703000003,-83.67944336,0.001728,0,25.79871367999999,49.62473296999997,13.84430645190746,,17.36842105263158,60.904300756886656,0.9821878
